"geometry";"rivers";"model_type";"stat";"NCP";"X";"Y";"alt";"id"
"48";c(3904264.91911248, 2832216.6675236, 104);"Aube";"M1";"Up";1;3904264.91911248;2832216.6675236;104;"Only_point"
"49";c(3932383.30675938, 2781957.19720446, 209);"Aube";"M2";"Est";2;3932383.30675938;2781957.19720446;209;"Upper_point"
"50";c(3932259.99144366, 2781312.86664089, 213);"Aube";"M2";"Low";2;3932259.99144366;2781312.86664089;213;"Upper_point"
"51";c(3932280.57686809, 2782549.00155994, 212);"Aube";"M2";"Up";2;3932280.57686809;2782549.00155994;212;"Upper_point"
"52";c(3884999.65219529, 2843611.47880352, 81);"Aube";"M2";"Est";2;3884999.65219529;2843611.47880352;81;"Lower_point"
"53";c(3885490.65660219, 2843160.59799622, 83);"Aube";"M2";"Low";2;3885490.65660219;2843160.59799622;83;"Lower_point"
"54";c(3884818.52199276, 2844003.17070316, 86);"Aube";"M2";"Up";2;3884818.52199276;2844003.17070316;86;"Lower_point"
"55";c(3684514.52338469, 2221100.27392187, 405);"Aude";"M1";"Est";1;3684514.52338469;2221100.27392187;405;"Only_point"
"56";c(3684547.77189193, 2221006.69571122, 407);"Aude";"M1";"Low";1;3684547.77189193;2221006.69571122;407;"Only_point"
"57";c(3684658.61715709, 2221302.78424899, 404);"Aude";"M1";"Up";1;3684658.61715709;2221302.78424899;404;"Only_point"
"58";c(3678520.6702056, 2219059.55439713, 554);"Aude";"M2";"Est";2;3678520.6702056;2219059.55439713;554;"Upper_point"
"59";c(3677985.63586637, 2219067.9072016, 560);"Aude";"M2";"Low";2;3677985.63586637;2219067.9072016;560;"Upper_point"
"60";c(3678259.77717091, 2218997.80811102, 549);"Aude";"M2";"Up";2;3678259.77717091;2218997.80811102;549;"Upper_point"
"61";c(3687989.25534066, 2236614.84341477, 226);"Aude";"M2";"Est";2;3687989.25534066;2236614.84341477;226;"Lower_point"
"62";c(3687168.93849423, 2236383.76165136, 230);"Aude";"M2";"Low";2;3687168.93849423;2236383.76165136;230;"Lower_point"
"63";c(3688201.2722137, 2237032.04203925, 223);"Aude";"M2";"Up";2;3688201.2722137;2237032.04203925;223;"Lower_point"
"64";c(6619250.20942729, 1973075.07760037, 78);"Ceyhan";"M1";"Est";1;6619250.20942729;1973075.07760037;78;"Only_point"
"65";c(6619634.12004293, 1973560.76444041, 77);"Ceyhan";"M1";"Low";1;6619634.12004293;1973560.76444041;77;"Only_point"
"66";c(6618944.06731431, 1972488.93855092, 79);"Ceyhan";"M1";"Up";1;6618944.06731431;1972488.93855092;79;"Only_point"
"67";c(6623206.9267102, 1989039.82081653, 135);"Ceyhan";"M2";"Est";2;6623206.9267102;1989039.82081653;135;"Upper_point"
"68";c(6624183.92720431, 1988528.73712779, 139);"Ceyhan";"M2";"Low";2;6624183.92720431;1988528.73712779;139;"Upper_point"
"69";c(6622184.60063627, 1989783.72008971, 135);"Ceyhan";"M2";"Up";2;6622184.60063627;1989783.72008971;135;"Upper_point"
"70";c(6608546.4034418, 1963440.03392889, 39);"Ceyhan";"M2";"Est";2;6608546.4034418;1963440.03392889;39;"Lower_point"
"71";c(6609598.1104951, 1962551.35584926, 45);"Ceyhan";"M2";"Low";2;6609598.1104951;1962551.35584926;45;"Lower_point"
"72";c(6607331.59585418, 1962990.35100984, 43);"Ceyhan";"M2";"Up";2;6607331.59585418;1962990.35100984;43;"Lower_point"
"73";c(3751053.40902712, 2608903.54198069, 203);"Cher";"M1";"Est";1;3751053.40902712;2608903.54198069;203;"Only_point"
"74";c(3751146.00809752, 2608515.82977108, 203);"Cher";"M1";"Low";1;3751146.00809752;2608515.82977108;203;"Only_point"
"75";c(3751196.75940994, 2609265.39842719, 202);"Cher";"M1";"Up";1;3751196.75940994;2609265.39842719;202;"Only_point"
"76";c(3751141.39358624, 2604130.1307387, 225);"Cher";"M2";"Est";2;3751141.39358624;2604130.1307387;225;"Upper_point"
"77";c(3751010.38235404, 2603979.02066871, 239);"Cher";"M2";"Low";2;3751010.38235404;2603979.02066871;239;"Upper_point"
"78";c(3751297.34783663, 2604374.08426804, 219);"Cher";"M2";"Up";2;3751297.34783663;2604374.08426804;219;"Upper_point"
"79";c(3644478.12574437, 2731478.86426689, 54);"Cher";"M2";"Est";2;3644478.12574437;2731478.86426689;54;"Lower_point"
"80";c(3647194.2836054, 2730723.00060598, 64);"Cher";"M2";"Low";2;3647194.2836054;2730723.00060598;64;"Lower_point"
"81";c(3641683.46107195, 2732143.14301249, 56);"Cher";"M2";"Up";2;3641683.46107195;2732143.14301249;56;"Lower_point"
"82";c(3671723.4045987, 2645921.5376191, 105);"Creuse";"M1";"Est";1;3671723.4045987;2645921.5376191;105;"Only_point"
"83";c(3671818.28808484, 2645113.73191069, 102);"Creuse";"M1";"Low";1;3671818.28808484;2645113.73191069;102;"Only_point"
"84";c(3670958.28623014, 2646353.7841599, 124);"Creuse";"M1";"Up";1;3670958.28623014;2646353.7841599;124;"Only_point"
"85";c(3714415.78087038, 2568606.59213868, 447);"Creuse";"M2";"Est";2;3714415.78087038;2568606.59213868;447;"Upper_point"
"86";c(3714390.86855628, 2568211.82942987, 444);"Creuse";"M2";"Low";2;3714390.86855628;2568211.82942987;444;"Upper_point"
"87";c(3714658.95666157, 2568921.99923813, 440);"Creuse";"M2";"Up";2;3714658.95666157;2568921.99923813;440;"Upper_point"
"88";c(3659903.46829588, 2651739.27034637, 106);"Creuse";"M2";"Est";2;3659903.46829588;2651739.27034637;106;"Lower_point"
"89";c(3660475.42951762, 2651757.73664684, 88);"Creuse";"M2";"Low";2;3660475.42951762;2651757.73664684;88;"Lower_point"
"90";c(3659700.73425303, 2652176.10316912, 91);"Creuse";"M2";"Up";2;3659700.73425303;2652176.10316912;91;"Lower_point"
"91";c(4369846.94008327, 2836485.91886617, 407);"Danube";"M1";"Est";2;4369846.94008327;2836485.91886617;407;"Only_point"
"92";c(4369239.1766255, 2835825.54432681, 407);"Danube";"M1";"Low";2;4369239.1766255;2835825.54432681;407;"Only_point"
"93";c(4370598.39670404, 2836978.13416195, 407);"Danube";"M1";"Up";2;4370598.39670404;2836978.13416195;407;"Only_point"
"94";c(4294155.52936539, 2790547.86052906, 507);"Danube";"M2";"Est";5;4294155.52936539;2790547.86052906;507;"Upper_point"
"95";c(4292493.30805979, 2791684.92502678, 508);"Danube";"M2";"Low";5;4292493.30805979;2791684.92502678;508;"Upper_point"
"96";c(4295424.37260085, 2791254.8648973, 503);"Danube";"M2";"Up";5;4295424.37260085;2791254.8648973;503;"Upper_point"
"97";c(4384524.56412757, 2846457.69362107, 399);"Danube";"M2";"Est";5;4384524.56412757;2846457.69362107;399;"Lower_point"
