"geometry";"rivers";"model_type";"stat";"NCP";"X";"Y";"alt";"id"
"209";c(4039121.64500022, 3127248.01909756, 23);"Maas";"M1";"Low";1;4039121.64500022;3127248.01909756;23;"Only_point"
"210";c(4041544.56272824, 3132072.52461414, 20);"Maas";"M1";"Up";1;4041544.56272824;3132072.52461414;20;"Only_point"
"211";c(4005615.07936958, 2832404.02102314, 257);"Maas";"M2";"Est";2;4005615.07936958;2832404.02102314;257;"Upper_point"
"212";c(4004870.75517939, 2831643.85057226, 257);"Maas";"M2";"Low";2;4004870.75517939;2831643.85057226;257;"Upper_point"
"213";c(4006125.91067801, 2833041.4122372, 256);"Maas";"M2";"Up";2;4006125.91067801;2833041.4122372;256;"Upper_point"
"214";c(4054085.29664222, 3147092.13092761, 9);"Maas";"M2";"Est";2;4054085.29664222;3147092.13092761;9;"Lower_point"
"215";c(4052996.6347102, 3145672.81713025, 9);"Maas";"M2";"Low";2;4052996.6347102;3145672.81713025;9;"Lower_point"
"216";c(4053847.12987533, 3148666.43304769, 9);"Maas";"M2";"Up";2;4053847.12987533;3148666.43304769;9;"Lower_point"
"217";c(5456349.72061229, 2238558.14840454, 550);"Maritsa-Evros";"M1";"Est";1;5456349.72061229;2238558.14840454;550;"Only_point"
"218";c(5456176.51886637, 2238469.09706342, 552);"Maritsa-Evros";"M1";"Low";1;5456176.51886637;2238469.09706342;552;"Only_point"
"219";c(5456638.2246238, 2238639.11493363, 544);"Maritsa-Evros";"M1";"Up";1;5456638.2246238;2238639.11493363;544;"Only_point"
"220";c(5451869.20533408, 2238402.64349707, 637);"Maritsa-Evros";"M2";"Est";2;5451869.20533408;2238402.64349707;637;"Upper_point"
"221";c(5451678.53482653, 2238437.59104677, 643);"Maritsa-Evros";"M2";"Low";2;5451678.53482653;2238437.59104677;643;"Upper_point"
"222";c(5452060.79877484, 2238449.72676858, 633);"Maritsa-Evros";"M2";"Up";2;5452060.79877484;2238449.72676858;633;"Upper_point"
"223";c(5490729.13451424, 2233952.62335433, 219);"Maritsa-Evros";"M2";"Est";2;5490729.13451424;2233952.62335433;219;"Lower_point"
"224";c(5489942.11329249, 2234340.2457133, 219);"Maritsa-Evros";"M2";"Low";2;5489942.11329249;2234340.2457133;219;"Lower_point"
"225";c(5491590.0780472, 2234194.50082586, 217);"Maritsa-Evros";"M2";"Up";2;5491590.0780472;2234194.50082586;217;"Lower_point"
"226";c(3923262.5066573, 2856538.82896899, 99);"Marne";"M1";"Est";1;3923262.5066573;2856538.82896899;99;"Only_point"
"227";c(3923727.37888941, 2856365.49146589, 99);"Marne";"M1";"Low";1;3923727.37888941;2856365.49146589;99;"Only_point"
"228";c(3922899.30329005, 2856488.52042149, 99);"Marne";"M1";"Up";1;3922899.30329005;2856488.52042149;99;"Only_point"
"229";c(3946636.65502317, 2848124.55619982, 131);"Marne";"M2";"Est";3;3946636.65502317;2848124.55619982;131;"Upper_point"
"230";c(3947335.07410212, 2848264.27370495, 131);"Marne";"M2";"Low";3;3947335.07410212;2848264.27370495;131;"Upper_point"
"231";c(3946625.77768927, 2847582.07021456, 132);"Marne";"M2";"Up";3;3946625.77768927;2847582.07021456;132;"Upper_point"
"232";c(3912328.2849098, 2878602.50425537, 84);"Marne";"M2";"Est";3;3912328.2849098;2878602.50425537;84;"Lower_point"
"233";c(3912611.90228378, 2877394.06124395, 83);"Marne";"M2";"Low";3;3912611.90228378;2877394.06124395;83;"Lower_point"
"234";c(3911778.00391865, 2879842.82986315, 86);"Marne";"M2";"Up";3;3911778.00391865;2879842.82986315;86;"Lower_point"
"235";c(5246908.76508307, 2349186.40667692, 140);"Morava main";"M1";"Est";1;5246908.76508307;2349186.40667692;140;"Only_point"
"236";c(5247643.91607416, 2348677.89288061, 148);"Morava main";"M1";"Low";1;5247643.91607416;2348677.89288061;148;"Only_point"
"237";c(5246529.02687847, 2349772.60230193, 150);"Morava main";"M1";"Up";1;5246529.02687847;2349772.60230193;150;"Only_point"
"238";c(5294455.38483387, 2295251.63664976, 214);"Morava main";"M2";"Est";7;5294455.38483387;2295251.63664976;214;"Upper_point"
"239";c(5296383.84704933, 2293248.66522255, 217);"Morava main";"M2";"Low";7;5296383.84704933;2293248.66522255;217;"Upper_point"
"240";c(5293360.5157185, 2297419.6202923, 213);"Morava main";"M2";"Up";7;5293360.5157185;2297419.6202923;213;"Upper_point"
"241";c(5279273.99088419, 2315648.40197773, 183);"Morava main";"M2";"Est";7;5279273.99088419;2315648.40197773;183;"Lower_point"
"242";c(5280258.11290954, 2311675.1768023, 185);"Morava main";"M2";"Low";7;5280258.11290954;2311675.1768023;185;"Lower_point"
"243";c(5276266.86566897, 2318599.59338262, 181);"Morava main";"M2";"Up";7;5276266.86566897;2318599.59338262;181;"Lower_point"
"244";c(5143176.38640659, 2367030.27406455, 252);"Morava west";"M1";"Est";1;5143176.38640659;2367030.27406455;252;"Only_point"
"245";c(5142277.70819858, 2367040.24433518, 256);"Morava west";"M1";"Low";1;5142277.70819858;2367040.24433518;256;"Only_point"
"246";c(5143971.5878336, 2366954.57113777, 249);"Morava west";"M1";"Up";1;5143971.5878336;2366954.57113777;249;"Only_point"
"247";c(5132366.95976075, 2355224.11371622, 309);"Morava west";"M2";"Est";4;5132366.95976075;2355224.11371622;309;"Upper_point"
"248";c(5132519.3272785, 2354803.59005359, 309);"Morava west";"M2";"Low";4;5132519.3272785;2354803.59005359;309;"Upper_point"
"249";c(5132288.24340941, 2355800.49269829, 309);"Morava west";"M2";"Up";4;5132288.24340941;2355800.49269829;309;"Upper_point"
"250";c(5237413.17370077, 2356196.5540688, 134);"Morava west";"M2";"Est";4;5237413.17370077;2356196.5540688;134;"Lower_point"
"251";c(5237331.48053307, 2352578.14239101, 134);"Morava west";"M2";"Low";4;5237331.48053307;2352578.14239101;134;"Lower_point"
"252";c(5236227.45912941, 2359640.55609624, 124);"Morava west";"M2";"Up";4;5236227.45912941;2359640.55609624;124;"Lower_point"
"253";c(4042670.6440686, 2834430.79125289, 233);"Mosel";"M1";"Est";1;4042670.6440686;2834430.79125289;233;"Only_point"
"254";c(4042946.9778114, 2833866.73961276, 229);"Mosel";"M1";"Low";1;4042946.9778114;2833866.73961276;229;"Only_point"
"255";c(4041960.67224925, 2835013.23333487, 226);"Mosel";"M1";"Up";1;4041960.67224925;2835013.23333487;226;"Only_point"
"256";c(4068088.3900381, 2780041.57352305, 373);"Mosel";"M2";"Est";3;4068088.3900381;2780041.57352305;373;"Upper_point"
"257";c(4068532.7210823, 2779660.50413121, 375);"Mosel";"M2";"Low";3;4068532.7210823;2779660.50413121;375;"Upper_point"
"258";c(4067843.8177662, 2780550.27348689, 366);"Mosel";"M2";"Up";3;4067843.8177662;2780550.27348689;366;"Upper_point"
"259";c(4027291.82908294, 2846696.17684439, 230);"Mosel";"M2";"Est";3;4027291.82908294;2846696.17684439;230;"Lower_point"
"260";c(4028166.5430857, 2846304.88527142, 219);"Mosel";"M2";"Low";3;4028166.5430857;2846304.88527142;219;"Lower_point"
"261";c(4026436.40986343, 2846073.53631026, 213);"Mosel";"M2";"Up";3;4026436.40986343;2846073.53631026;213;"Lower_point"
"262";c(4344911.98522037, 2539233.80484457, 292);"Oglio";"M1";"Est";1;4344911.98522037;2539233.80484457;292;"Only_point"
"263";c(4345308.47362707, 2539275.14808982, 290);"Oglio";"M1";"Low";1;4345308.47362707;2539275.14808982;290;"Only_point"
"264";c(4344733.80289792, 2538925.91780918, 287);"Oglio";"M1";"Up";1;4344733.80289792;2538925.91780918;287;"Only_point"
"265";c(4348174.60211215, 2549837.65905714, 396);"Oglio";"M2";"Est";2;4348174.60211215;2549837.65905714;396;"Upper_point"
"266";c(4348162.03921268, 2549936.39487928, 398);"Oglio";"M2";"Low";2;4348162.03921268;2549936.39487928;398;"Upper_point"
"267";c(4348228.66316936, 2549645.28437976, 393);"Oglio";"M2";"Up";2;4348228.66316936;2549645.28437976;393;"Upper_point"
"268";c(4317457.25317199, 2467244.63619372, 43);"Oglio";"M2";"Est";2;4317457.25317199;2467244.63619372;43;"Lower_point"
"269";c(4316447.59001657, 2467676.59217561, 50);"Oglio";"M2";"Low";2;4316447.59001657;2467676.59217561;50;"Lower_point"
"270";c(4318286.77436414, 2466694.88176925, 42);"Oglio";"M2";"Up";2;4318286.77436414;2466694.88176925;42;"Lower_point"
"271";c(3857363.90678257, 2994287.24588301, 79);"Oise";"M1";"Est";1;3857363.90678257;2994287.24588301;79;"Only_point"
"272";c(3857517.86972896, 2995055.85116317, 82);"Oise";"M1";"Low";1;3857517.86972896;2995055.85116317;82;"Only_point"
"273";c(3856644.37925793, 2993815.5028646, 81);"Oise";"M1";"Up";1;3856644.37925793;2993815.5028646;81;"Only_point"
"274";c(3893033.95623232, 2997291.08454299, 150);"Oise";"M2";"Est";2;3893033.95623232;2997291.08454299;150;"Upper_point"
"275";c(3893271.54670909, 2997110.1074363, 153);"Oise";"M2";"Low";2;3893271.54670909;2997110.1074363;153;"Upper_point"
"276";c(3892853.837153, 2997361.69046194, 150);"Oise";"M2";"Up";2;3892853.837153;2997361.69046194;150;"Upper_point"
"277";c(3839946.30879228, 2969047.65204939, 46);"Oise";"M2";"Est";2;3839946.30879228;2969047.65204939;46;"Lower_point"
"278";c(3839992.50627153, 2969243.09872646, 45);"Oise";"M2";"Low";2;3839992.50627153;2969243.09872646;45;"Lower_point"
"279";c(3839661.54735605, 2968802.49721314, 45);"Oise";"M2";"Up";2;3839661.54735605;2968802.49721314;45;"Lower_point"
"280";c(6644319.97102502, 1860872.56425974, 84);"Oronte";"M1";"Est";1;6644319.97102502;1860872.56425974;84;"Only_point"
"281";c(6644185.41893899, 1861849.44082546, 83);"Oronte";"M1";"Low";1;6644185.41893899;1861849.44082546;83;"Only_point"
"282";c(6643989.87355526, 1859906.00388986, 85);"Oronte";"M1";"Up";1;6643989.87355526;1859906.00388986;85;"Only_point"
"283";c(6669942.33039963, 1845829.16883096, 102);"Oronte";"M2";"Est";2;6669942.33039963;1845829.16883096;102;"Upper_point"
"284";c(6670227.7527097, 1845107.87283492, 107);"Oronte";"M2";"Low";2;6670227.7527097;1845107.87283492;107;"Upper_point"
"285";c(6669354.45142026, 1846428.60313682, 99);"Oronte";"M2";"Up";2;6669354.45142026;1846428.60313682;99;"Upper_point"
"286";c(6644224.29117078, 1864083.04612565, 84);"Oronte";"M2";"Est";2;6644224.29117078;1864083.04612565;84;"Lower_point"
"287";c(6644515.3240136, 1864482.67671813, 84);"Oronte";"M2";"Low";2;6644515.3240136;1864482.67671813;84;"Lower_point"
"288";c(6644129.11248649, 1863504.02880415, 80);"Oronte";"M2";"Up";2;6644129.11248649;1863504.02880415;80;"Lower_point"
"289";c(4116942.90769337, 2396424.25886936, 314);"Po";"M1";"Est";1;4116942.90769337;2396424.25886936;314;"Only_point"
"290";c(4116743.89288373, 2396201.92614917, 313);"Po";"M1";"Low";1;4116743.89288373;2396201.92614917;313;"Only_point"
"291";c(4117283.36936181, 2396633.22715017, 307);"Po";"M1";"Up";1;4117283.36936181;2396633.22715017;307;"Only_point"
"292";c(4116942.90769337, 2396424.25886936, 314);"Po";"M2";"Est";2;4116942.90769337;2396424.25886936;314;"Upper_point"
"293";c(4116743.89288373, 2396201.92614917, 313);"Po";"M2";"Low";2;4116743.89288373;2396201.92614917;313;"Upper_point"
"294";c(4117283.36936181, 2396633.22715017, 307);"Po";"M2";"Up";2;4117283.36936181;2396633.22715017;307;"Upper_point"
"295";c(4237855.78444952, 2441009.57220674, 57);"Po";"M2";"Est";2;4237855.78444952;2441009.57220674;57;"Lower_point"
"296";c(4232288.33757175, 2438734.39549689, 64);"Po";"M2";"Low";2;4232288.33757175;2438734.39549689;64;"Lower_point"
"297";c(4243711.20544004, 2441783.44412008, 59);"Po";"M2";"Up";2;4243711.20544004;2441783.44412008;59;"Lower_point"
"298";c(4281221.97880023, 2636822.27899675, 566);"Rhine";"M1";"Est";1;4281221.97880023;2636822.27899675;566;"Only_point"
"299";c(4280457.69224162, 2636627.78386786, 568);"Rhine";"M1";"Low";1;4280457.69224162;2636627.78386786;568;"Only_point"
"300";c(4281854.71476388, 2637103.47670855, 571);"Rhine";"M1";"Up";1;4281854.71476388;2637103.47670855;571;"Only_point"
"301";c(4269868.80240862, 2632676.4845167, 624);"Rhine";"M2";"Est";2;4269868.80240862;2632676.4845167;624;"Upper_point"
"302";c(4269536.04908766, 2632517.58667875, 628);"Rhine";"M2";"Low";2;4269536.04908766;2632517.58667875;628;"Upper_point"
"303";c(4270198.44098529, 2632832.76275024, 616);"Rhine";"M2";"Up";2;4270198.44098529;2632832.76275024;616;"Upper_point"
"304";c(4168760.2540682, 2845146.95728772, 120);"Rhine";"M2";"Est";2;4168760.2540682;2845146.95728772;120;"Lower_point"
"305";c(4166449.90405822, 2842556.66536299, 122);"Rhine";"M2";"Low";2;4166449.90405822;2842556.66536299;122;"Lower_point"
"306";c(4171206.28301001, 2847588.8463707, 120);"Rhine";"M2";"Up";2;4171206.28301001;2847588.8463707;120;"Lower_point"
"307";c(4155781.85978128, 2579084.53984981, 644);"Rhône";"M1";"Est";1;4155781.85978128;2579084.53984981;644;"Only_point"
"308";c(4156160.75884595, 2578966.07847634, 646);"Rhône";"M1";"Low";1;4156160.75884595;2578966.07847634;646;"Only_point"
"309";c(4155514.9960612, 2579221.45349741, 642);"Rhône";"M1";"Up";1;4155514.9960612;2579221.45349741;642;"Only_point"
"310";c(4162247.2427356, 2579046.40428172, 659);"Rhône";"M2";"Est";2;4162247.2427356;2579046.40428172;659;"Upper_point"
"311";c(4162518.05908329, 2579174.26372902, 660);"Rhône";"M2";"Low";2;4162518.05908329;2579174.26372902;660;"Upper_point"
"312";c(4162007.81467977, 2578867.23251349, 656);"Rhône";"M2";"Up";2;4162007.81467977;2578867.23251349;656;"Upper_point"
"313";c(3991815.0217036, 2522690.68412762, 226);"Rhône";"M2";"Est";2;3991815.0217036;2522690.68412762;226;"Lower_point"
"314";c(3992602.30082381, 2526361.90922322, 226);"Rhône";"M2";"Low";2;3992602.30082381;2526361.90922322;226;"Lower_point"
"315";c(3989171.37106738, 2520068.99219599, 236);"Rhône";"M2";"Up";2;3989171.37106738;2520068.99219599;236;"Lower_point"
"316";c(4017041.81958773, 2765232.71595848, 226);"Saône";"M1";"Est";2;4017041.81958773;2765232.71595848;226;"Only_point"
"317";c(4016500.53556552, 2765809.98267622, 228);"Saône";"M1";"Low";2;4016500.53556552;2765809.98267622;228;"Only_point"
"318";c(4017859.63713438, 2765369.14218348, 224);"Saône";"M1";"Up";2;4017859.63713438;2765369.14218348;224;"Only_point"
"319";c(4015923.6913382, 2774131.81146283, 238);"Saône";"M2";"Est";4;4015923.6913382;2774131.81146283;238;"Upper_point"
"320";c(4015917.2498717, 2774244.68637477, 240);"Saône";"M2";"Low";4;4015917.2498717;2774244.68637477;240;"Upper_point"
"321";c(4016100.25456353, 2773686.3584642, 240);"Saône";"M2";"Up";4;4016100.25456353;2773686.3584642;240;"Upper_point"
"322";c(3984259.94783275, 2710301.95173214, 187);"Saône";"M2";"Est";4;3984259.94783275;2710301.95173214;187;"Lower_point"
"323";c(3985503.02281589, 2712243.53456524, 187);"Saône";"M2";"Low";4;3985503.02281589;2712243.53456524;187;"Lower_point"
"324";c(3983954.61122904, 2708167.59005058, 186);"Saône";"M2";"Up";4;3983954.61122904;2708167.59005058;186;"Lower_point"
"325";c(4771043.04152373, 2542196.60552833, 126);"Sava";"M1";"Est";1;4771043.04152373;2542196.60552833;126;"Only_point"
"326";c(4770452.74990376, 2542089.15411828, 126);"Sava";"M1";"Low";1;4770452.74990376;2542089.15411828;126;"Only_point"
"327";c(4771537.26922663, 2542270.14889737, 122);"Sava";"M1";"Up";1;4771537.26922663;2542270.14889737;122;"Only_point"
"328";c(4711111.18529323, 2570299.82835321, 205);"Sava";"M2";"Est";4;4711111.18529323;2570299.82835321;205;"Upper_point"
"329";c(4710364.80721596, 2570127.50653012, 214);"Sava";"M2";"Low";4;4710364.80721596;2570127.50653012;214;"Upper_point"
"330";c(4711899.36243012, 2570252.02015928, 209);"Sava";"M2";"Up";4;4711899.36243012;2570252.02015928;209;"Upper_point"
"331";c(4795102.61708819, 2538483.51689232, 106);"Sava";"M2";"Est";4;4795102.61708819;2538483.51689232;106;"Lower_point"
"332";c(4794615.94163361, 2538181.75480158, 101);"Sava";"M2";"Low";4;4794615.94163361;2538181.75480158;101;"Lower_point"
"333";c(4795463.4443961, 2538818.4645482, 99);"Sava";"M2";"Up";4;4795463.4443961;2538818.4645482;99;"Lower_point"
"334";c(3858578.69792797, 3044502.19082227, 21);"Schelde";"M1";"Est";1;3858578.69792797;3044502.19082227;21;"Only_point"
"335";c(3858220.94634308, 3044156.91303117, 25);"Schelde";"M1";"Low";1;3858220.94634308;3044156.91303117;25;"Only_point"
"336";c(3858852.11065399, 3045032.04019904, 27);"Schelde";"M1";"Up";1;3858852.11065399;3045032.04019904;27;"Only_point"
"337";c(3849018.50986607, 3043261.92207763, 32);"Schelde";"M2";"Est";2;3849018.50986607;3043261.92207763;32;"Upper_point"
"338";c(3848483.04562894, 3042996.30660383, 37);"Schelde";"M2";"Low";2;3848483.04562894;3042996.30660383;37;"Upper_point"
"339";c(3849494.44421839, 3043407.33941789, 31);"Schelde";"M2";"Up";2;3849494.44421839;3043407.33941789;31;"Upper_point"
"340";c(3884986.43534765, 3122888.49686274, 0);"Schelde";"M2";"Est";2;3884986.43534765;3122888.49686274;0;"Lower_point"
"341";c(3882301.65490109, 3121808.76940311, 3);"Schelde";"M2";"Low";2;3882301.65490109;3121808.76940311;3;"Lower_point"
"342";c(3885869.89185081, 3120651.80794238, 1);"Schelde";"M2";"Up";2;3885869.89185081;3120651.80794238;1;"Lower_point"
"343";c(3884406.97302138, 2811485.51789816, 109);"Seine";"M1";"Est";1;3884406.97302138;2811485.51789816;109;"Only_point"
"344";c(3884840.70892235, 2810999.06083542, 113);"Seine";"M1";"Low";1;3884840.70892235;2810999.06083542;113;"Only_point"
"345";c(3883836.91230732, 2811710.95744163, 109);"Seine";"M1";"Up";1;3883836.91230732;2811710.95744163;109;"Only_point"
"346";c(3916065.05278463, 2750352.80102988, 261);"Seine";"M2";"Est";2;3916065.05278463;2750352.80102988;261;"Upper_point"
"347";c(3916283.06126521, 2749969.4210347, 264);"Seine";"M2";"Low";2;3916283.06126521;2749969.4210347;264;"Upper_point"
"348";c(3916155.80218677, 2750637.1560692, 263);"Seine";"M2";"Up";2;3916155.80218677;2750637.1560692;263;"Upper_point"
"349";c(3872772.57503539, 2831959.47242108, 87);"Seine";"M2";"Est";2;3872772.57503539;2831959.47242108;87;"Lower_point"
"350";c(3873318.98124996, 2831599.43648253, 88);"Seine";"M2";"Low";2;3873318.98124996;2831599.43648253;88;"Lower_point"
"351";c(3873123.0225521, 2832288.97487017, 87);"Seine";"M2";"Up";2;3873123.0225521;2832288.97487017;87;"Lower_point"
"352";c(3816203.72664541, 2986898.91389989, 54);"Somme";"M1";"Est";1;3816203.72664541;2986898.91389989;54;"Only_point"
"353";c(3817256.80366512, 2985881.65032667, 55);"Somme";"M1";"Low";1;3817256.80366512;2985881.65032667;55;"Only_point"
"354";c(3815690.97266115, 2988168.28847108, 54);"Somme";"M1";"Up";1;3815690.97266115;2988168.28847108;54;"Only_point"
"355";c(3818092.0764167, 2984736.66510835, 54);"Somme";"M2";"Est";2;3818092.0764167;2984736.66510835;54;"Upper_point"
"356";c(3819576.85869961, 2983902.24064548, 57);"Somme";"M2";"Low";2;3819576.85869961;2983902.24064548;57;"Upper_point"
"357";c(3817156.08738451, 2986145.05307053, 53);"Somme";"M2";"Up";2;3817156.08738451;2986145.05307053;53;"Upper_point"
"358";c(3743055.62704526, 3025167.79984929, 6);"Somme";"M2";"Est";2;3743055.62704526;3025167.79984929;6;"Lower_point"
"359";c(3745703.44071453, 3023712.63066118, 8);"Somme";"M2";"Low";2;3745703.44071453;3023712.63066118;8;"Lower_point"
"360";c(3740764.54934446, 3027015.86717646, 14);"Somme";"M2";"Up";2;3740764.54934446;3027015.86717646;14;"Lower_point"
"361";c(3274586.44538468, 2046858.35605546, 786);"Tajo";"M1";"Est";1;3274586.44538468;2046858.35605546;786;"Only_point"
"362";c(3274828.31942061, 2047231.1737842, 790);"Tajo";"M1";"Low";1;3274828.31942061;2047231.1737842;790;"Only_point"
"363";c(3274228.38904115, 2046453.55744092, 797);"Tajo";"M1";"Up";1;3274228.38904115;2046453.55744092;797;"Only_point"
"364";c(3295410.80612476, 2049390.25089245, 924);"Tajo";"M2";"Est";2;3295410.80612476;2049390.25089245;924;"Upper_point"
"365";c(3295500.20553234, 2048913.88473314, 908);"Tajo";"M2";"Low";2;3295500.20553234;2048913.88473314;908;"Upper_point"
"366";c(3295422.31336275, 2049892.60893918, 903);"Tajo";"M2";"Up";2;3295422.31336275;2049892.60893918;903;"Upper_point"
"367";c(3225448.3057064, 2011066.68138946, 598);"Tajo";"M2";"Est";2;3225448.3057064;2011066.68138946;598;"Lower_point"
"368";c(3226925.21446931, 2010474.26864083, 604);"Tajo";"M2";"Low";2;3226925.21446931;2010474.26864083;604;"Lower_point"
"369";c(3224242.73463231, 2010676.83122838, 594);"Tajo";"M2";"Up";2;3224242.73463231;2010676.83122838;594;"Lower_point"
"370";c(3808949.1781033, 2380545.21338466, 533);"Tarn";"M1";"Est";1;3808949.1781033;2380545.21338466;533;"Only_point"
"371";c(3809374.06381941, 2380468.51007547, 543);"Tarn";"M1";"Low";1;3809374.06381941;2380468.51007547;543;"Only_point"
"372";c(3808822.54659178, 2380924.59800148, 538);"Tarn";"M1";"Up";1;3808822.54659178;2380924.59800148;538;"Only_point"
"373";c(3808949.1781033, 2380545.21338466, 533);"Tarn";"M2";"Est";2;3808949.1781033;2380545.21338466;533;"Upper_point"
"374";c(3809184.72120597, 2380422.8828892, 538);"Tarn";"M2";"Low";2;3809184.72120597;2380422.8828892;538;"Upper_point"
"375";c(3808886.25344803, 2380735.04797642, 540);"Tarn";"M2";"Up";2;3808886.25344803;2380735.04797642;540;"Upper_point"
"376";c(3673342.63362768, 2346142.04465207, 125);"Tarn";"M2";"Est";2;3673342.63362768;2346142.04465207;125;"Lower_point"
"377";c(3674867.10341953, 2346150.98277386, 126);"Tarn";"M2";"Low";2;3674867.10341953;2346150.98277386;126;"Lower_point"
"378";c(3671927.81246955, 2345134.37379189, 127);"Tarn";"M2";"Up";2;3671927.81246955;2345134.37379189;127;"Lower_point"
"379";c(4488590.98515038, 2281411.50158599, 372);"Tevere";"M1";"Est";1;4488590.98515038;2281411.50158599;372;"Only_point"
"380";c(4488574.64535534, 2281810.62899989, 371);"Tevere";"M1";"Low";1;4488574.64535534;2281810.62899989;371;"Only_point"
"381";c(4488587.21940642, 2281011.74837061, 369);"Tevere";"M1";"Up";1;4488587.21940642;2281011.74837061;369;"Only_point"
"382";c(4486338.0584498, 2286170.08725132, 431);"Tevere";"M2";"Est";2;4486338.0584498;2286170.08725132;431;"Upper_point"
"383";c(4486149.18687153, 2286401.64325848, 430);"Tevere";"M2";"Low";2;4486149.18687153;2286401.64325848;430;"Upper_point"
"384";c(4486505.69114759, 2286063.08837245, 436);"Tevere";"M2";"Up";2;4486505.69114759;2286063.08837245;436;"Upper_point"
"385";c(4515844.34435313, 2154273.58744853, 50);"Tevere";"M2";"Est";2;4515844.34435313;2154273.58744853;50;"Lower_point"
"386";c(4513911.56915488, 2156589.68471398, 59);"Tevere";"M2";"Low";2;4513911.56915488;2156589.68471398;59;"Lower_point"
"387";c(4518545.96116595, 2153362.71812591, 51);"Tevere";"M2";"Up";2;4518545.96116595;2153362.71812591;51;"Lower_point"
"388";c(3606893.45676955, 3199044.39768269, 7);"Thames";"M1";"Est";1;3606893.45676955;3199044.39768269;7;"Only_point"
"389";c(3605470.65215332, 3198364.72917428, 6);"Thames";"M1";"Low";1;3605470.65215332;3198364.72917428;6;"Only_point"
"390";c(3607050.93550338, 3200393.94883543, 5);"Thames";"M1";"Up";1;3607050.93550338;3200393.94883543;5;"Only_point"
"391";c(3504032.23667892, 3237304.12740837, 80);"Thames";"M2";"Est";2;3504032.23667892;3237304.12740837;80;"Upper_point"
"392";c(3503535.82641767, 3237742.6287194, 81);"Thames";"M2";"Low";2;3503535.82641767;3237742.6287194;81;"Upper_point"
"393";c(3504643.66149016, 3237000.29131841, 82);"Thames";"M2";"Up";2;3504643.66149016;3237000.29131841;82;"Upper_point"
"394";c(3613327.01673047, 3201924.84467894, 2);"Thames";"M2";"Est";2;3613327.01673047;3201924.84467894;2;"Lower_point"
"395";c(3612577.43133826, 3202992.68054523, 0);"Thames";"M2";"Low";2;3612577.43133826;3202992.68054523;0;"Lower_point"
"396";c(3613705.66711077, 3200533.32911302, 10);"Thames";"M2";"Up";2;3613705.66711077;3200533.32911302;10;"Lower_point"
"397";c(4238686.47234553, 2583967.16859258, 304);"Ticino";"M1";"Est";1;4238686.47234553;2583967.16859258;304;"Only_point"
"398";c(4238550.24633428, 2584092.24206889, 305);"Ticino";"M1";"Low";1;4238550.24633428;2584092.24206889;305;"Only_point"
"399";c(4238962.97845991, 2583850.79731217, 306);"Ticino";"M1";"Up";1;4238962.97845991;2583850.79731217;306;"Only_point"
"400";c(4236505.28821821, 2586089.61361794, 332);"Ticino";"M2";"Est";3;4236505.28821821;2586089.61361794;332;"Upper_point"
"401";c(4236390.10078109, 2586253.03991247, 332);"Ticino";"M2";"Low";3;4236390.10078109;2586253.03991247;332;"Upper_point"
"402";c(4236610.15248706, 2585919.64326484, 327);"Ticino";"M2";"Up";3;4236610.15248706;2585919.64326484;327;"Upper_point"
"403";c(4258300.41395474, 2450453.99095317, 54);"Ticino";"M2";"Est";3;4258300.41395474;2450453.99095317;54;"Lower_point"
"404";c(4254681.02775435, 2452299.57318535, 61);"Ticino";"M2";"Low";3;4254681.02775435;2452299.57318535;61;"Lower_point"
"405";c(4261502.3525102, 2448034.7052153, 50);"Ticino";"M2";"Up";3;4261502.3525102;2448034.7052153;50;"Lower_point"
"406";c(5557140.40819883, 2290840.91253083, 440);"Tundzha";"M1";"Est";1;5557140.40819883;2290840.91253083;440;"Only_point"
"407";c(5556789.83775189, 2290663.15257489, 442);"Tundzha";"M1";"Low";1;5556789.83775189;2290663.15257489;442;"Only_point"
"408";c(5557464.20859171, 2291040.8327338, 438);"Tundzha";"M1";"Up";1;5557464.20859171;2291040.8327338;438;"Only_point"
"409";c(5557140.40819883, 2290840.91253083, 440);"Tundzha";"M2";"Est";2;5557140.40819883;2290840.91253083;440;"Upper_point"
"410";c(5556715.53392065, 2290596.60931448, 438);"Tundzha";"M2";"Low";2;5556715.53392065;2290596.60931448;438;"Upper_point"
"411";c(5557540.85929033, 2291089.27032902, 440);"Tundzha";"M2";"Up";2;5557540.85929033;2291089.27032902;440;"Upper_point"
"412";c(5658386.95923433, 2307660.40172302, 140);"Tundzha";"M2";"Est";2;5658386.95923433;2307660.40172302;140;"Lower_point"
"413";c(5655581.492765, 2307398.83802756, 145);"Tundzha";"M2";"Low";2;5655581.492765;2307398.83802756;145;"Lower_point"
"414";c(5661941.49829972, 2310362.42275569, 140);"Tundzha";"M2";"Up";2;5661941.49829972;2310362.42275569;140;"Lower_point"
"415";c(3657644.70247898, 2565822.40431747, 248);"Vienne";"M1";"Est";1;3657644.70247898;2565822.40431747;248;"Only_point"
"416";c(3657975.86198345, 2565243.4356385, 259);"Vienne";"M1";"Low";1;3657975.86198345;2565243.4356385;259;"Only_point"
"417";c(3657089.81746917, 2565911.95938007, 270);"Vienne";"M1";"Up";1;3657089.81746917;2565911.95938007;270;"Only_point"
"418";c(3671409.04364172, 2553773.11545844, 301);"Vienne";"M2";"Est";2;3671409.04364172;2553773.11545844;301;"Upper_point"
