"Package","Version"
"sessioninfo","1.2.2"
"sf","1.0-13"
"shapes","1.2.7"
"shiny","1.7.5.1"
"sourcetools","0.1.7-1"
"sp","2.0-0"
"spam","2.10-0"
"SparseM","1.81"
"spData","2.3.0"
"spdep","1.3-1"
"stringi","1.7.12"
"stringr","1.5.0"
"svglite","2.1.3"
"svUnit","1.0.6"
"sys","3.4.2"
"systemfonts","1.0.4"
"tensorA","0.36.2"
"terra","1.7-39"
"testthat","3.1.10"
"textshaping","0.3.6"
"tibble","3.2.1"
"tidybayes","3.0.4"
"tidyr","1.3.0"
"tidyselect","1.2.0"
"tidyterra","0.5.2"
"tidyverse","2.0.0"
"timechange","0.2.0"
"tinytex","0.46"
"tolerance","2.0.0"
"transport","0.14-6"
"tzdb","0.4.0"
"udunits2","0.13.2.1"
"units","0.8-2"
"urlchecker","1.0.1"
"usethis","2.2.2"
"utf8","1.2.3"
"uuid","1.1-0"
"V8","4.4.1"
"vctrs","0.6.3"
"viridis","0.6.4"
"viridisLite","0.4.2"
"vistime","1.2.3"
"vroom","1.6.3"
"waldo","0.5.1"
"whisker","0.4.1"
"withr","2.5.2"
"wk","0.7.3"
"xfun","0.40"
"xlsx","0.6.5"
"xlsxjars","0.6.1"
"XML","3.99-0.16"
"xml2","1.3.5"
"xopen","1.0.0"
"xtable","1.8-4"
"yaml","2.3.7"
"zip","2.3.0"
"zoo","1.8-12"
"base","4.3.1"
"boot","1.3-28.1"
"class","7.3-22"
"cluster","2.1.4"
"codetools","0.2-19"
"compiler","4.3.1"
"datasets","4.3.1"
"foreign","0.8-84"
"graphics","4.3.1"
"grDevices","4.3.1"
"grid","4.3.1"
"KernSmooth","2.23-21"
"lattice","0.21-8"
"MASS","7.3-60"
"Matrix","1.5-4.1"
"methods","4.3.1"
"mgcv","1.8-42"
"nlme","3.1-162"
"nnet","7.3-19"
"parallel","4.3.1"
"rpart","4.1.19"
"spatial","7.3-16"
"splines","4.3.1"
"stats","4.3.1"
"stats4","4.3.1"
"survival","3.5-5"
"tcltk","4.3.1"
"tools","4.3.1"
"translations","4.3.1"
"utils","4.3.1"
